"i","value"
1,7.4041876813955124e-32
2,7.1632275533177732e-32
3,6.9927839499136584e-32
4,6.8811174858364668e-32
5,6.8089731482023188e-32
6,6.7479634285247811e-32
7,6.6766048861412394e-32
8,6.5890297518656355e-32
9,6.4811182396729683e-32
10,6.3507372734914689e-32
11,6.2053584614138966e-32
12,6.0633293903630967e-32
13,5.9433285723211735e-32
14,5.8659201810806995e-32
15,5.8478622593239693e-32
16,5.8949062391370094e-32
17,6.0020318406885921e-32
18,6.1596567402634207e-32
19,6.3567467251592742e-32
20,6.5870735172801691e-32
21,6.8343015607511594e-32
22,7.0744318636839626e-32
23,7.286779979977432e-32
24,7.4492783115923005e-32
25,7.5455240721831611e-32
26,7.5664095373537524e-32
27,7.5091124822916166e-32
28,7.3788912788831922e-32
29,7.1876643319075016e-32
30,6.953084428804432e-32
31,6.6958579210639712e-32
32,6.4363892379771187e-32
33,6.1918925630371299e-32
34,5.9737522088991395e-32
35,5.7845496850983802e-32
36,5.6169778344245804e-32
37,5.4639760949192707e-32
38,5.3164045201338282e-32
39,5.1632476895575308e-32
40,4.9954304098322298e-32
41,4.8065152185375681e-32
42,4.5949783920961059e-32
43,4.3644823794339668e-32
44,4.1252668482920239e-32
45,3.8900929287934284e-32
46,3.6724082689922043e-32
47,3.487705574226774e-32
48,3.3529491902979993e-32
49,3.2826066191322748e-32
50,3.2864493145549572e-32
51,3.3667103626345725e-32
52,3.5205655136134415e-32
53,3.7424371085340461e-32
54,4.025525145487194e-32
55,4.3639421908916387e-32
56,4.7524010050064188e-32
57,5.1860192037665785e-32
58,5.6561393991432436e-32
59,6.1508234427976547e-32
60,6.6541748321111836e-32
61,7.1473231204094682e-32
62,7.6167122027351662e-32
63,8.0464649677471405e-32
64,8.4178140759756174e-32
65,8.7209291802235625e-32
66,8.9559671945675449e-32
67,9.1317221369286357e-32
68,9.2615463261247941e-32
69,9.3619164786329534e-32
70,9.4515892200160101e-32
71,9.5481217746821583e-32
72,9.670959447993336e-32
73,9.8398679363654108e-32
74,1.006309887741001e-31
75,1.0338986497641366e-31
76,1.0658162554294924e-31
77,1.1002915051577069e-31
78,1.1342680444376702e-31
79,1.1639545207762191e-31
80,1.1860158860774872e-31
81,1.1975455619783161e-31
82,1.1962942260928313e-31
83,1.1815160235256137e-31
84,1.1533710561491814e-31
85,1.1132380912453591e-31
86,1.0640876143780937e-31
87,1.0104128455546672e-31
88,9.5693208663358029e-32
89,9.0695517324696211e-32
90,8.6295233499300714e-32
91,8.2696259276051692e-32
92,8.0006756731768102e-32
93,7.8307884330006796e-32
94,7.7580702067730936e-32
95,7.7752229448031771e-32
96,7.8645454300633313e-32
97,8.0068170414047924e-32
98,8.1918811020669801e-32
99,8.4212580777326401e-32
100,8.6968547659015318e-32
101,9.0040626838204349e-32
102,9.3239084051077224e-32
103,9.6468833994457522e-32
104,9.9561118236871903e-32
105,1.023124237026439e-31
106,1.0456139839490894e-31
107,1.0607001578422266e-31
108,1.0656060218461266e-31
109,1.0584446955609549e-31
110,1.0386194414460742e-31
111,1.0069370093622334e-31
112,9.651026449001417e-32
113,9.1483746244553015e-32
114,8.5869259179520842e-32
115,8.0033636799442323e-32
116,7.4345212826097793e-32
117,6.9163324018852518e-32
118,6.4819708602929244e-32
119,6.1488237271997562e-32
120,5.9168667189833419e-32
121,5.7775532318208766e-32
122,5.7135164437245411e-32
123,5.7048859954196503e-32
124,5.7333517709572292e-32
125,5.7781268555704988e-32
126,5.8196149763484186e-32
127,5.8395183499049176e-32
128,5.8243704816414388e-32
129,5.767427387037331e-32
130,5.6671147237296748e-32
131,5.5270019863761511e-32
132,5.3556154467938036e-32
133,5.1624752291599571e-32
134,4.9562015908624836e-32
135,4.7459550777248554e-32
136,4.5383704507644694e-32
137,4.33903641793321e-32
138,4.1526591186799664e-32
139,3.983550230128259e-32
140,3.8334415941338662e-32
141,3.7021261871851391e-32
142,3.5881677765988325e-32
143,3.4888511338918517e-32
144,3.4020361400097089e-32
145,3.3250864904255441e-32
146,3.2552342383017485e-32
147,3.1911831448540437e-32
148,3.1338476509783105e-32
149,3.0853006238612881e-32
150,3.0472808301420785e-32
151,3.0187337172031384e-32
152,2.99798685316303e-32
153,2.983647069128422e-32
154,2.9748586338452137e-32
155,2.9706010490112639e-32
